Unnamed: 0,Manufacturer,Category,Screen,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned
0,Acer,4,IPS Panel,2,1,5,14.0,0.5517241379310345,8,256,3.5280000000000005,978,Low
1,Dell,3,Full HD,1,1,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,634,Low
2,Dell,3,Full HD,1,1,7,15.598425196850393,0.9310344827586208,8,256,4.851000000000001,946,Low
3,Dell,4,IPS Panel,2,1,5,13.299212598425196,0.5517241379310345,8,128,2.6901,1244,Low
4,HP,4,Full HD,2,1,7,15.598425196850393,0.6206896551724138,8,256,4.21155,837,Low
5,Dell,3,Full HD,1,1,5,15.598425196850393,0.5517241379310345,8,256,4.851000000000001,1016,Low
6,HP,3,Full HD,3,1,5,15.598425196850393,0.5517241379310345,8,256,4.6305000000000005,1117,Low
7,Acer,3,IPS Panel,2,1,5,15.0,0.5517241379310345,4,256,4.851000000000001,866,Low
8,Dell,3,Full HD,1,1,5,15.598425196850393,0.8620689655172414,4,256,5.0714999999999995,812,Low
9,Acer,3,IPS Panel,3,1,7,15.0,0.6206896551724138,8,256,4.851000000000001,1068,Low
10,Dell,3,Full HD,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.69665,975,Low
11,HP,3,Full HD,2,1,3,15.598425196850393,0.6896551724137931,4,128,4.21155,558,Low
12,Asus,3,Full HD,2,2,3,15.598425196850393,0.6896551724137931,4,256,4.41,527,Low
13,Dell,4,Full HD,2,1,5,14.0,0.5517241379310345,8,256,3.7485,1117,Low
14,Asus,3,Full HD,2,1,5,14.0,0.5517241379310345,8,256,3.0869999999999997,1195,Low
15,HP,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.1013,876,Low
16,Dell,4,IPS Panel,1,1,7,13.000000000000002,0.6206896551724138,8,256,3.0869999999999997,1213,Low
17,Dell,3,Full HD,1,1,7,15.598425196850393,0.6206896551724138,8,256,4.851000000000001,1105,Low
18,Dell,4,IPS Panel,2,1,5,15.0,0.5517241379310345,8,256,4.1453999999999995,1392,Low
19,HP,3,Full HD,2,1,5,14.0,0.5517241379310345,8,256,3.59415,1092,Low
20,HP,4,IPS Panel,3,1,7,15.0,0.6206896551724138,8,256,4.035150000000001,888,Low
21,HP,3,Full HD,2,1,5,15.598425196850393,0.8620689655172414,8,256,4.3218,761,Low
22,Dell,4,IPS Panel,2,1,7,13.000000000000002,0.6206896551724138,8,256,2.66805,2095,Medium
23,Dell,1,Full HD,3,1,5,15.598425196850393,0.8620689655172414,8,256,5.84325,1518,Low
24,Asus,4,Full HD,2,1,7,14.0,0.9310344827586208,8,256,2.75625,1333,Low
25,Dell,3,Full HD,1,2,3,15.598425196850393,0.6896551724137931,4,256,4.851000000000001,616,Low
26,Asus,3,Full HD,3,1,3,15.598425196850393,0.8275862068965517,6,256,4.41,733,Low
